City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
502,Caibarien,CU,79.92,clear sky,22.5206,-79.4669,
510,Sampit,ID,74.08,overcast clouds,-2.5333,112.95,
512,Vung Tau,VN,75.58,scattered clouds,10.346,107.0843,
515,Muisne,EC,75.31,light rain,0.6,-80.0333,
519,Mecca,SA,72.43,scattered clouds,21.4267,39.8261,
520,Esmeraldas,BR,77.86,overcast clouds,-19.7625,-44.3139,
521,Tombouctou,ML,69.91,few clouds,20.0,-3.0,
523,Sambava,MG,74.89,light rain,-14.2667,50.1667,
525,Gushikawa,JP,67.23,mist,26.3544,127.8686,
528,Padang,ID,77.05,light rain,-0.9492,100.3543,
531,Olavarria,AR,76.01,broken clouds,-36.8927,-60.3225,
532,Antalaha,MG,72.72,light rain,-14.9003,50.2788,
534,Bunia,CD,66.79,overcast clouds,1.5667,30.25,
541,Yeppoon,AU,78.58,clear sky,-23.1333,150.7333,
544,Loa Janan,ID,72.7,broken clouds,-0.583,117.095,
547,Dwarka,IN,73.06,clear sky,22.2394,68.9678,
549,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,
550,Muncar,ID,77.27,overcast clouds,-8.4333,114.3333,
551,Long Beach,US,70.14,clear sky,33.767,-118.1892,
552,Vega De Alatorre,MX,70.81,few clouds,20.0333,-96.6333,
560,Grenfell,AU,68.32,clear sky,-33.9,148.1667,
561,San Rafael,AR,73.49,clear sky,-34.6177,-68.3301,
563,Gigmoto,PH,78.96,overcast clouds,13.7796,124.39,
566,Coron,PH,78.75,overcast clouds,11.9986,120.2043,
568,Teknaf,BD,65.66,clear sky,20.8624,92.3058,
571,Kimbe,PG,77.49,light rain,-5.5502,150.1429,
572,Ilebo,CD,72.09,overcast clouds,-4.3167,20.5833,
574,Candelaria,PH,76.59,overcast clouds,13.9311,121.4233,
575,Bo Rai,TH,68.34,few clouds,12.5728,102.5371,
576,Boende,CD,72.99,broken clouds,-0.2167,20.8667,
583,Necochea,AR,66.04,overcast clouds,-38.5473,-58.7368,
598,Parakan,ID,73.89,overcast clouds,-6.4191,106.0081,
599,Grand-Lahou,CI,79.97,broken clouds,5.1367,-5.0242,
603,Port Augusta,AU,77.7,few clouds,-32.5,137.7667,
604,Ballitoville,ZA,76.24,few clouds,-29.539,31.2144,
605,Santiago Del Estero,AR,77.81,broken clouds,-27.7951,-64.2615,
608,Benguela,AO,77.94,overcast clouds,-12.5763,13.4055,
610,Senekal,ZA,65.28,light rain,-28.3197,27.6208,
615,Trelew,AR,65.52,overcast clouds,-43.249,-65.3051,
618,Mulege,MX,70.95,broken clouds,26.8833,-111.9833,
619,Saint-Louis,SN,78.44,overcast clouds,16.3333,-15.0,
630,Tonantins,BR,78.6,broken clouds,-2.8731,-67.8022,
632,Inhambane,MZ,78.67,clear sky,-23.865,35.3833,
637,Colac,AU,73.08,scattered clouds,-38.3333,143.5833,
640,Yulara,AU,73.24,overcast clouds,-25.2406,130.9889,
641,Gilbues,BR,74.57,overcast clouds,-9.8317,-45.3439,
643,Canon City,US,69.67,clear sky,38.441,-105.2424,
650,Aquidauana,BR,73.56,overcast clouds,-20.4711,-55.7872,
652,Cacapava Do Sul,BR,77.41,broken clouds,-30.5122,-53.4914,
657,Nouakchott,MR,75.88,broken clouds,18.0858,-15.9785,
662,Imbituba,BR,77.83,scattered clouds,-28.24,-48.6703,
663,Namibe,AO,71.4,broken clouds,-15.1961,12.1522,
666,Cuamba,MZ,77.16,scattered clouds,-14.8031,36.5372,
672,Angoche,MZ,77.92,clear sky,-16.2325,39.9086,
677,Manacapuru,BR,75.78,heavy intensity rain,-3.2997,-60.6206,
678,Tessalit,ML,69.76,few clouds,20.1986,1.0114,
685,Ouallam,NE,76.86,overcast clouds,14.3188,2.0866,
687,Miraflores,MX,70.45,scattered clouds,19.2167,-98.8083,
688,Kindu,CD,71.1,overcast clouds,-2.95,25.95,
691,Camopi,GF,73.18,broken clouds,3.1655,-52.3158,
692,Sao Felix Do Xingu,BR,73.96,heavy intensity rain,-6.6447,-51.995,
695,Tarakan,ID,76.5,few clouds,3.3,117.6333,
701,Cam Ranh,VN,75.16,few clouds,11.9214,109.1591,
703,Montebello,US,69.49,clear sky,34.0095,-118.1053,
705,Gold Coast,AU,79.38,clear sky,-28.0,153.4333,
706,Oussouye,SN,77.18,scattered clouds,12.485,-16.5469,
708,Richards Bay,ZA,75.0,overcast clouds,-28.783,32.0377,
